type,Prob. PT1,Prob. metro1,Prob. taxi1,Prob. more1,Prob. no1,Prob. PT2,Prob. metro2,Prob. taxi2,Prob. more2,Prob. no2
0.5,273.7667716048922,314.5229712119119,175.12241816748207,106.94825970449743,371.6395793112164,254.60552748167683,430.59066091521,89.28944261711554,180.9343898673478,286.5799791186498
0.51,274.0895006444738,314.3904734326273,174.68564388820099,106.5712181672678,372.26316386743014,255.3948939115347,429.8213539335819,89.30295488686355,180.46692562138324,287.0138716466366
0.52,274.4117438227839,314.25708135292854,174.24938916684425,106.19511857711984,372.8866670803235,256.1847384667256,429.0505589283044,89.31642183355117,180.00072915009957,287.44755162131923
0.53,274.73349955117425,314.1227972685136,173.81365609270267,105.81996068632793,373.51008640128157,256.97505081035723,428.2782896786743,89.32984311675278,179.5357976478324,287.88101874638323
0.54,275.0547662492506,313.987623482685,173.37844674309235,105.44574423603159,374.13341928894044,257.7658205758019,427.5045599918041,89.34321839420777,179.0721283068611,288.31427273132516
0.55,275.3755423448862,313.85156230628104,172.94376318333505,105.0724689562647,374.756663209233,258.5570373671589,426.72938370211887,89.3565473218235,178.60971831746508,288.74731329143367
0.56,275.69582627423495,313.7146160576066,172.50960746673908,104.70013456598544,375.37981563543394,259.3486907597216,425.9527746708491,89.3698295536777,178.1485648679794,289.1801401477722
0.5700000000000001,276.0156164817446,313.5767870623641,172.07598163458016,104.32874077310609,376.0028740482051,260.14077030044587,425.1747467855222,89.38306474202115,177.68866514484986,289.6127530271609
0.5800000000000001,276.3349114201693,313.4380776535845,171.64288771608335,103.95828727452353,376.6258359356393,260.9332655084236,424.395313959449,89.39625253728036,177.23001633268726,290.0451516621598
0.5900000000000001,276.6537095505822,313.29849017155834,171.21032772840488,103.5887737561496,377.248698793305,261.7261658753596,423.6144901312065,89.40939258806033,176.77261561432152,290.47733579105204
0.6000000000000001,276.97200934238725,313.15802696376625,170.7783036766147,103.2201998929425,377.87146012428934,262.51946086605074,422.8322892641197,89.42248454114707,176.316460170855,290.9093051578275
0.6100000000000001,277.2898092733313,313.01669038481,170.3468175536795,102.85256534893729,378.494117439242,263.31313991887026,422.04872534573695,89.43552804151038,175.86154718171545,291.34105951216696
0.6200000000000001,277.6071078295151,312.87448279634333,169.91587134044573,102.48586977727818,379.1166682564177,264.10719244625307,421.2638123873056,89.44852273230681,175.40787382470776,291.7725986094267
0.6300000000000001,277.9239035054051,312.73140656700264,169.4854670056238,102.12011282024957,379.73911010171884,264.90160783518655,420.4775644232414,89.46146825488218,174.95543727606633,292.2039222106235
0.6400000000000001,278.24019480384374,312.587464072338,169.05560650577192,101.75529410930888,380.3614405087375,265.69637544770296,419.6899955105968,89.47436424877466,174.5042347105058,292.6350300824197
