Prob. PT1,Prob. metro1,Prob. taxi1,Prob. more1,Prob. no1,Prob. PT2,Prob. metro2,Prob. taxi2,Prob. more2,Prob. no2,direct_elas_taxi_source2,direct_elas_m11,direct_elas_m21,direct_elas_m31,direct_elas_m41,direct_elas_m12,direct_elas_m22,direct_elas_m32,direct_elas_m42,direct_elas_l11,direct_elas_l21,direct_elas_l31,direct_elas_l41,direct_elas_l61,direct_elas_l12,direct_elas_l22,direct_elas_l32,direct_elas_l42,direct_elas_l62,type
0.19523130827676655,0.32094250685218645,0.19865482011990943,0.05326541006947896,0.23190595468165837,0.06402892985504986,0.5169950230710686,0.003923655221768256,0.030414270954172345,0.38463812089794075,-0.3591528352726662,0.0,0.0,0.0,0.051549983399978974,0.0,0.0,0.0,0.34411545156757223,-0.17468508468211882,0.1945952616342426,-0.0066937551048287264,0.023818802155428098,-0.20146296457598237,0.08557098968848023,-0.10291357986080264,0.40868913460038364,-0.015344967406946351,-0.009682922681651197,0.5
0.49922483203668444,0.18980952175114127,0.11283353857749878,0.08936032239324514,0.10877178524143084,0.37204764958681086,0.02914915771756661,0.012286414344396342,0.14597498656808422,0.440541791783142,-0.3124211732723772,0.030789574049808564,0.0,0.0,0.0,0.7383412243923431,0.0,0.0,0.0,-0.07278500286888155,0.10859611492095836,-0.006941768172084234,0.0053443479752904016,-0.11893687957088268,0.08706489224542116,-0.5120639414233035,0.4696254511228273,-0.05915669459177463,-0.05096796169173127,0.5
0.13699525484419048,0.12112178946393286,0.39259648683224485,0.1084639512622535,0.24082251759737858,0.49932881263256756,0.3115928494711416,0.03001257409651316,0.11200636024922507,0.04705940355055277,-0.03960253791892688,0.0,0.0,0.06919825272225691,0.0,0.0,0.0,0.1448394673278604,0.0,-0.1593466398221235,0.36262608863027646,-0.0046112326007513495,0.045654828510878515,-0.37345439316647544,0.009196499300334096,-0.02608117657485125,0.046722068729696496,-0.008560526111786685,-0.0024410491599120513,0.5
0.21999229162413958,0.5112065155069194,0.07403746290236134,0.003812568691953247,0.19095116127462622,3.47746692473686e-05,0.0012056258233878597,0.5089062440034482,0.489749595608679,0.00010375989523739486,-1.2729168819206107e-07,0.0,0.0,0.017677588376271244,0.0,0.0,0.0,0.00031935228290844647,0.0,-0.14383554671201024,0.010590062324018348,-0.005896277049103546,0.006971422629671878,-0.011736434507500454,2.3083611433804824e-05,-0.0002675876121459201,0.00011024789142532546,-0.0003319439641461634,-2.695097535592128e-05,0.5
0.22959935584665284,0.2687176084460921,0.11142523462183772,0.07255738539410676,0.31770041569131074,0.14559384913564358,0.16803058701861678,0.01846657811798316,0.046381233596568795,0.6215277521311877,-0.509330761059077,0.08615087657254118,0.0,0.0,0.0,1.2036952995281907,0.0,0.0,0.0,-0.23535415395459117,0.3734011752496027,-0.012562445073198016,0.01842639067638836,-0.3977774929748478,0.13598622449867442,-0.3766207254921258,0.6833438247202197,-0.16969031000384566,-0.03646192224285619,0.5
0.2376911547142284,0.233276157826715,0.26766093550622005,0.04654796744571286,0.2148237845071235,0.3857136708813215,0.07149830115661625,0.03594799281477361,0.247418126526689,0.2594219086205997,-0.15838604374594573,0.0,0.0,0.04354100114959331,0.0,0.0,0.0,0.7984489437359896,0.0,-0.15510697371234747,0.14774258290874442,-0.007866292160208632,0.027382047402089774,-0.15218592933594682,0.05532047717704187,-0.4498224191158116,0.29360698884030806,-0.07418331279347698,-0.042109562513663365,0.5
0.10011332312949572,0.2273243047684068,0.1356001384901956,0.04189865179726276,0.4950635818146393,0.19472052716777938,0.7565318534244952,0.0004026933706966484,0.0025228864326280746,0.045822039604400525,-0.04517564052816311,0.0,0.05187141298958978,0.0,0.0,0.0,0.17232139894437762,0.0,0.0,-0.3667457286707626,0.4540207615751433,-0.011533921633901269,0.047217007485786486,-0.4836600746560819,0.010025563851758516,-0.0005990708269536823,0.05037942021476024,-0.00010820906521678254,-5.799806657428746e-05,0.5
0.17223970671001426,0.5786583135786453,0.04801354847554372,0.03850911290172798,0.1625793183340688,0.007943106390728566,0.5133029949877611,0.003065972632552445,0.01419854519762662,0.461489380791332,-0.4417471811772525,0.04967057147752313,0.0,0.0,0.0,1.0439758330269229,0.0,0.0,0.0,-0.12246422059206459,0.08886686339700034,-0.004085376564139079,0.003327220302264213,-0.089539377627885,0.10266819875484053,-0.06470682119025893,0.5275417390490849,-0.014776172083277734,-0.005925092078087431,0.5
0.18515826664034116,0.426878334587883,0.11177289553062718,0.060434086450283746,0.2157564167908651,0.003117933269387538,0.3785972055126876,0.003959538437334556,0.01833665599859946,0.5959886667819908,-0.5568617202885338,0.05996013472577501,0.0,0.0,0.0,1.3160246473327442,0.0,0.0,0.0,-0.1625203112596214,0.19762843432522353,-0.006223476492705732,0.010976032545783342,-0.19912401917463401,0.13259044615909224,-0.14384784746062512,0.6812917280752797,-0.032848477313351034,-0.013171899434416772,0.5
0.22313986078728792,0.5008943311802558,0.06820108847947669,0.053022556201535835,0.15474216335144364,0.004932133007716819,0.24791656866951037,0.00648450779340429,0.07407813389912535,0.6665886566302434,-0.4999214859648531,0.04610507034235189,0.0,0.0,0.0,1.1814584721680377,0.0,0.0,0.0,-0.11656081856995584,0.11423873702463304,-0.004638947620763681,0.0047241214816552786,-0.11558327516413062,0.14829692628957986,-0.7798030147540582,0.7082697382585533,-0.07728495272637759,-0.07170300096497226,0.5
