type,PTaggE1,metroaggE1,taxiaggE1,moreaggE1,bundleaggE1,PTaggE2,metroaggE2,taxiaggE2,moreaggE2,bundleaggE2
0.5,0.05898660232570337,-0.02099208692988318,-0.12477938626517777,-0.17649309149960063,-47.83671204126075,0.15496991223713671,-0.08924466552828925,0.007579178936478073,-0.1293560201574633,-41.57673702497286
0.51,0.060005234816078744,-0.021566210579940594,-0.12744182491192918,-0.18020903268852656,-48.82946143390422,0.1576772621751851,-0.09136986248129436,0.007703806115142822,-0.13192624375240902,-42.41969592114986
0.52,0.06101774224835819,-0.02214620093736474,-0.13011064636458572,-0.1839321054489874,-49.823473426949114,0.1603693066110847,-0.09350830495190937,0.0078271908069821,-0.1344955781876034,-43.26299004120159
0.53,0.06202413610420664,-0.0227320470863543,-0.1327858406391764,-0.1876622992875983,-50.81873931070203,0.16304605152639795,-0.09565998377231533,0.00794932130087883,-0.13706401172893132,-44.10661342296068
0.54,0.06302442789058478,-0.023323738089238273,-0.13546739769905616,-0.19139960364307645,-51.815250373572866,0.1657075030771781,-0.09782488950016888,0.008070185810307728,-0.13963153275055235,-44.95056014648454
0.55,0.06401862913948916,-0.023921262986729322,-0.13815530745516055,-0.19514400788651973,-52.812997902384254,0.1683536675959663,-0.10000301241724517,0.008189772473453349,-0.14219812973569235,-45.79482433415673
0.56,0.06500675140769177,-0.024524610798177564,-0.14084955976626168,-0.19889550132168884,-53.81197318268065,0.17098455159377107,-0.10219434252810548,0.008308069353327908,-0.1447637912774458,-46.63940015078796
0.5700000000000001,0.0659888062764794,-0.02513377052182447,-0.14355014443922617,-0.20265407318529077,-54.81216749903696,0.17360016176202886,-0.10439886955878908,0.008425064437889741,-0.1473285060795879,-47.48428180371685
0.5800000000000001,0.06696480535139265,-0.025748731135057094,-0.14625705122927457,-0.20641971264726575,-55.81357213536663,0.1762005049745454,-0.10661658295553098,0.008540745640161716,-0.1498922629573971,-48.32946354291043
0.5900000000000001,0.06793476026196436,-0.02636948159466252,-0.14897026984024248,-0.21019240881107595,-56.81617837522941,0.17878558828941715,-0.1088474718835058,0.008655100798350369,-0.15245505083848748,-49.174939661064265
0.6000000000000001,0.06889868266145821,-0.026996010837082324,-0.15168978992484333,-0.21397215071399703,-57.819977502138535,0.18135541895093502,-0.11109152522559633,0.00876811767596514,-0.15501685876365093,-50.02070449370248
0.6100000000000001,0.06985658422660633,-0.027628307778667652,-0.15441560108493285,-0.21775892732741178,-58.82496079986737,0.1839100043914662,-0.11334873158119009,0.008879783961938444,-0.15757767588770943,-50.86675241927741
0.6200000000000001,0.07080847665734727,-0.028266361315933963,-0.1571476928717751,-0.22155272755710656,-59.83111955275561,0.1864493522333193,-0.1156190792650003,0.00899008727074625,-0.16013749148037645,-51.71307785926906
0.6300000000000001,0.07175437167656312,-0.028910160325816475,-0.15988605478631007,-0.22535354024356974,-60.838445046014854,0.18897347029058528,-0.11790255630591673,0.00909901514252922,-0.1626962949271286,-52.559675278284246
0.6400000000000001,0.07269428102981676,-0.02955969366592525,-0.16263067627942296,-0.229161354162293,-61.84692856603371,0.1914823665709622,-0.12019915044588121,0.009206555043214878,-0.16525407573008585,-53.40653918415555
0.6500000000000001,0.07362821648508856,-0.030214950174800942,-0.16538154675221511,-0.23297615802407426,-62.8565614006822,0.1939760492775568,-0.12250884913879272,0.009312694364640443,-0.1678108235089019,-54.25366412804004
0.6600000000000001,0.07455618983251293,-0.03087591867217028,-0.16813865555627625,-0.23679794047532382,-63.8673348396157,0.1964545268106668,-0.12483163954943885,0.009417420424676613,-0.17036652800166302,-55.10104470451765
0.6700000000000002,0.07547821288411466,-0.03154258795920195,-0.17090199199395853,-0.24062669009837234,-64.87924017457814,0.19891780776954163,-0.12716750855245745,0.009520720467352386,-0.17292117906579632,-55.948675551689355
0.6800000000000002,0.07639429747354486,-0.03221494681876242,-0.17367154531865212,-0.24446239541178102,-65.8922686997047,0.20136590095412274,-0.12951644273132545,0.009622581662980972,-0.17547476667898665,-56.796551351275184
0.6900000000000002,0.07730445545581684,-0.03289298401567199,-0.17644730473506212,-0.24830504487065433,-66.90641171182372,0.20379881536676178,-0.13187842837737723,0.009722991108286883,-0.17802728094010245,-57.64466682871181
0.7000000000000002,0.07820869870704167,-0.033576688296960866,-0.17922925939948722,-0.2521546268669553,-67.92166051075809,0.20621656021391896,-0.13425345148885207,0.00982193582653426,-0.18057871207013013,-58.49301675325005
0.7100000000000002,0.07910703912416356,-0.03426604839212537,-0.1820173984200998,-0.2560111297298222,-68.93800639962585,0.20861914490783767,-0.13664149776997203,0.0099194027676565,-0.18312905041311656,-59.34159593805199
0.7200000000000002,0.07999948862469504,-0.03496105301338417,-0.18481171085722733,-0.2598745417258888,-69.9554406851401,0.21100657906819922,-0.13904255263004875,0.01001537880838729,-0.18567828643712056,-60.190399240287896
0.7300000000000002,0.08088605914645196,-0.035661690855934645,-0.18761218572363558,-0.26374485105960516,-70.97395467790831,0.21337887252375426,-0.1414566011826213,0.010109850752393275,-0.18822641073517163,-61.03942156123292
0.7400000000000002,0.08176676264728831,-0.036367950598209194,-0.1904188119848131,-0.2676220458735624,-71.99353969273074,0.2157360353139332,-0.14388362824462378,0.010202805330408151,-0.19077341402623743,-61.8886578463634
0.7500000000000002,0.08264161110483086,-0.03707982090213171,-0.19323157855925707,-0.2715061142488184,-73.01418704889817,0.21807807769043264,-0.14632361833558546,0.010294229200368356,-0.19331928715619864,-62.73810308545303
0.7600000000000002,0.08351061651621355,-0.037797290413374006,-0.19605047431876094,-0.2753970442052263,-74.03588807048892,0.2204050101187818,-0.14877655567686005,0.010384108947550765,-0.19586402109883133,-63.58775231266861
0.7700000000000002,0.08437379089781219,-0.03852034776161217,-0.19887548808870295,-0.2792948237017649,-75.05863408666514,0.22271684327988303,-0.1512424241908885,0.010472431084711955,-0.19840760695679727,-64.43760060666571
0.7800000000000002,0.08523114628497823,-0.03924898156078317,-0.20170660864833653,-0.28319944063687136,-76.08241643196799,0.2250135880715331,-0.15372120750049179,0.010559182052229549,-0.20095003596264108,-65.28764309068383
0.7900000000000003,0.08608269473177321,-0.039983180409341186,-0.20454382473108207,-0.2871108828487761,-77.1072264466124,0.22729525560991715,-0.1562128889281983,0.010644348218245366,-0.20349129947979477,-66.13787493264131
0.8000000000000003,0.08692844831070264,-0.04072293289051412,-0.20738712502481954,-0.29102913811583964,-78.1330554767808,0.22956185723108424,-0.1587174514956006,0.010727915878810853,-0.20603138900358867,-66.98829134523005
0.8100000000000003,0.0877684191124498,-0.041468227572559906,-0.21023649817218332,-0.29495419415689145,-79.15989487491598,0.23181340449239518,-0.16123487792274824,0.01080987125803447,-0.2085702961622701,-67.83888758600985
0.8200000000000003,0.08860261924560976,-0.042219053009023004,-0.21309193277085747,-0.2988860386315711,-80.18773600001322,0.23404990917394994,-0.16376515062757072,0.010890200508231524,-0.21110801271802748,-68.68965895750227
0.8300000000000003,0.08943106083642303,-0.04297539773899052,-0.21595341737387322,-0.3028246591406716,-81.21657021791138,0.2362713832799891,-0.1663082517253366,0.010968889710076101,-0.21364453056802166,-69.54060080728446
0.8400000000000003,0.09025375602850914,-0.04373725028734861,-0.2188209404899071,-0.3067700432264844,-82.24638890158326,0.2384778390402734,-0.1688641630281434,0.011045924872755507,-0.2161798417454227,-70.39170852808238
